YEAR;DOY;T2M;RH2M;PRECTOTCORR;WS2M
2025;1;22.42;25.09;0.0;4.31
2025;2;21.45;23.57;0.0;3.7
2025;3;22.1;22.24;0.0;4.1
2025;4;22.57;23.56;0.0;3.57
2025;5;23.09;22.37;0.0;2.85
2025;6;22.5;23.62;0.0;3.3
2025;7;23.67;21.63;0.0;3.33
2025;8;25.13;22.24;0.0;3.47
2025;9;25.95;22.09;0.0;3.49
2025;10;25.82;22.08;0.0;3.63
2025;11;25.01;19.59;0.0;4.9
2025;12;22.99;19.52;0.0;3.44
2025;13;23.18;21.07;0.0;2.48
2025;14;23.76;18.91;0.0;2.52
2025;15;23.63;18.27;0.0;2.47
2025;16;23.02;21.17;0.0;3.88
2025;17;19.88;21.69;0.0;4.24
2025;18;20.28;16.02;0.0;4.32
2025;19;20.84;14.72;0.0;3.88
2025;20;21.8;16.95;0.0;2.98
2025;21;23.05;17.52;0.0;2.67
2025;22;24.08;19.3;0.0;2.21
2025;23;23.6;38.59;0.0;3.9
2025;24;24.87;29.09;0.0;3.67
2025;25;26.7;18.46;0.0;3.87
2025;26;27.08;21.14;0.0;3.6
2025;27;27.92;19.11;0.0;3.9
2025;28;27.58;13.97;0.0;4.82
2025;29;25.76;13.51;0.0;4.46
2025;30;25.66;14.48;0.0;4.54
2025;31;24.29;15.16;0.0;4.88
2025;32;21.56;14.58;0.0;4.44
2025;33;20.97;15.41;0.0;4.92
2025;34;20.13;14.53;0.0;4.08
2025;35;20.62;16.03;0.0;3.5
2025;36;21.62;14.45;0.0;3.47
2025;37;22.5;14.1;0.0;3.88
2025;38;23.25;16.5;0.0;4.37
2025;39;24.19;19.72;0.0;3.66
2025;40;27.75;21.49;0.0;3.44
2025;41;28.38;22.92;0.0;2.65
2025;42;28.64;22.02;0.0;2.73
2025;43;28.56;26.78;0.0;2.44
2025;44;29.06;30.52;0.0;2.39
2025;45;29.7;26.22;0.0;2.72
2025;46;26.49;36.61;0.0;3.43
2025;47;25.97;41.28;0.0;2.65
2025;48;27.03;29.97;0.0;3.22
2025;49;26.29;24.58;0.0;4.07
2025;50;27.18;14.53;0.0;4.25
2025;51;27.67;17.19;0.0;3.83
2025;52;26.84;16.22;0.0;2.9
2025;53;27.15;15.14;0.0;5.05
2025;54;26.14;15.77;0.0;4.31
2025;55;25.95;14.77;0.0;4.68
2025;56;25.25;15.23;0.0;5.0
2025;57;24.66;16.19;0.0;3.84
2025;58;25.39;14.21;0.0;3.13
2025;59;27.5;12.96;0.0;2.09
2025;60;26.96;15.42;0.0;2.06
2025;61;25.33;40.23;0.0;4.28
2025;62;23.08;47.6;0.0;3.9
2025;63;24.52;43.46;0.0;4.09
2025;64;24.61;43.3;0.0;4.27
2025;65;24.7;40.83;0.0;3.36
2025;66;27.86;34.87;0.0;2.85
2025;67;27.72;32.79;0.0;4.03
2025;68;28.14;30.91;0.0;3.77
2025;69;28.03;27.48;0.0;3.66
2025;70;28.25;32.66;0.0;3.85
2025;71;28.48;27.54;0.0;4.01
2025;72;27.93;32.27;0.0;3.66
2025;73;27.63;38.31;0.0;2.7
2025;74;29.74;24.04;0.0;4.06
2025;75;32.89;16.03;0.0;4.09
2025;76;33.31;17.03;0.0;3.41
2025;77;32.95;17.27;0.0;3.15
2025;78;31.63;25.58;0.0;3.23
2025;79;29.9;32.77;0.0;3.49
2025;80;31.3;26.95;0.0;3.8
2025;81;32.87;22.37;0.0;4.2
2025;82;32.78;20.03;0.0;4.37
2025;83;31.57;18.08;0.0;4.41
2025;84;30.81;14.99;0.0;2.94
2025;85;30.58;13.78;0.0;3.77
2025;86;29.44;22.39;0.0;4.01
2025;87;26.74;40.49;0.01;4.18
2025;88;27.36;47.71;4.95;2.86
2025;89;29.29;40.64;0.0;4.62
2025;90;30.87;35.18;0.0;4.69
2025;91;31.73;31.88;0.0;4.89
2025;92;31.19;37.11;0.0;3.6
2025;93;28.85;40.05;0.0;4.38
2025;94;28.29;42.62;0.0;4.51
2025;95;30.15;35.52;0.0;5.67
2025;96;32.06;29.73;0.0;5.81
2025;97;32.65;34.55;0.0;3.7
2025;98;33.09;30.18;0.0;3.61
2025;99;31.57;34.56;0.0;4.47
2025;100;28.51;45.13;0.0;4.32
2025;101;28.53;43.52;0.0;3.81
2025;102;29.86;39.87;0.0;4.62
2025;103;30.55;38.33;0.0;4.12
2025;104;31.03;37.34;0.0;4.28
2025;105;31.64;33.53;0.0;3.83
2025;106;32.47;26.19;0.0;3.55
2025;107;33.02;24.57;0.0;3.12
2025;108;32.42;29.74;0.01;2.0
2025;109;33.15;33.73;0.0;3.38
2025;110;33.67;27.79;0.0;5.07
2025;111;29.82;36.45;0.0;6.91
2025;112;32.17;31.96;0.0;5.19
